"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"1899","2","EVEN 2025","47","0","2","Progressive Test 2","8","AE231101","1","51","2026-03-27","A","8","16:30:00","17:15:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1900","2","EVEN 2025","47","0","2","Progressive Test 2","8","AE231128","0","51","2026-03-24",,"2","14:30:00","16:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1901","4","EVEN 2025","47","0","2","Progressive Test 2","8","AE231302","0","48","2026-03-27",,"2","14:30:00","16:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1902","2","EVEN 2025","47","0","2","Progressive Test 2","8","AE231404","0","51","2026-03-25",,"1","10:30:00","12:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1903","2","EVEN 2025","47","0","2","Progressive Test 2","8","AE231512","0","51","2026-03-25",,"2","14:30:00","16:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1904","4","EVEN 2025","47","0","2","Progressive Test 2","8","AE232158","0","48","2026-03-24",,"1","10:30:00","12:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1905","4","EVEN 2025","47","0","2","Progressive Test 2","8","AE232159","0","48","2026-03-24",,"2","14:30:00","16:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1906","4","EVEN 2025","47","0","2","Progressive Test 2","8","AE232160","0","48","2026-03-25",,"2","14:30:00","16:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1907","4","EVEN 2025","47","0","2","Progressive Test 2","8","AE232402","0","48","2026-03-25",,"1","10:30:00","12:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1908","4","EVEN 2025","47","0","2","Progressive Test 2","8","AE232408","0","48","2026-03-27",,"1","10:30:00","12:00:00","2026-03-02 02:44:33","GPNCOE","117.254.196.95"
"1909","2","EVEN 2025","47","0","2","Progressive Test 2","1","CE231101","1","64","2026-03-27","A","3","10:00:00","10:45:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1910","2","EVEN 2025","47","0","2","Progressive Test 2","1","CE231101","1","68","2026-03-27","B","4","11:15:00","12:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1911","2","EVEN 2025","47","0","2","Progressive Test 2","1","CE231118","0","132","2026-03-24",,"2","14:30:00","16:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1912","2","EVEN 2025","47","0","2","Progressive Test 2","1","CE231302","0","132","2026-03-27",,"2","14:30:00","16:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1913","2","EVEN 2025","47","0","2","Progressive Test 2","1","CE231404","0","132","2026-03-25",,"1","10:30:00","12:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1914","2","EVEN 2025","47","0","2","Progressive Test 2","1","CE231510","0","132","2026-03-25",,"2","14:30:00","16:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1915","4","EVEN 2025","47","0","2","Progressive Test 2","1","CE232105","0","108","2026-03-24",,"1","10:30:00","12:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1916","4","EVEN 2025","47","0","2","Progressive Test 2","1","CE232106","0","108","2026-03-24",,"2","14:30:00","16:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
"1917","4","EVEN 2025","47","0","2","Progressive Test 2","1","CE232107","0","108","2026-03-25",,"2","14:30:00","16:00:00","2026-03-02 02:47:50","GPNCOE","117.254.196.95"
