"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"1778","2","EVEN 2025","47","0","1","Progressive Test 1","8","AE231101","1","51","2026-01-29","A","7","16:30:00","17:15:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1779","2","EVEN 2025","47","0","1","Progressive Test 1","8","AE231128","0","51","2026-01-27",,"2","14:30:00","16:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1780","4","EVEN 2025","47","0","1","Progressive Test 1","8","AE231302","0","48","2026-01-29",,"2","14:30:00","16:00:00","2026-01-13 03:16:10","GPNCOE","117.254.196.95"
"1781","2","EVEN 2025","47","0","1","Progressive Test 1","8","AE231404","0","51","2026-01-28",,"1","10:30:00","12:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1782","2","EVEN 2025","47","0","1","Progressive Test 1","8","AE231512","0","51","2026-01-28",,"2","14:30:00","16:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1783","4","EVEN 2025","47","0","1","Progressive Test 1","8","AE232158","0","48","2026-01-27",,"1","10:30:00","12:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1784","4","EVEN 2025","47","0","1","Progressive Test 1","8","AE232159","0","48","2026-01-27",,"2","14:30:00","16:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1785","4","EVEN 2025","47","0","1","Progressive Test 1","8","AE232160","0","48","2026-01-28",,"2","14:30:00","16:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1786","4","EVEN 2025","47","0","1","Progressive Test 1","8","AE232402","0","48","2026-01-28",,"1","10:30:00","12:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
"1787","4","EVEN 2025","47","0","1","Progressive Test 1","8","AE232408","0","48","2026-01-29",,"1","10:30:00","12:00:00","2026-01-13 05:49:53","GPNCOE","157.119.47.113"
