"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"2450","3","EVEN 2025","47","0","3","End Semester Exam","6","CM21233","0","1","2026-05-08",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2449","3","EVEN 2025","47","0","3","End Semester Exam","6","CM21232","0","1","2026-05-12",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2448","1","EVEN 2025","47","0","3","End Semester Exam","6","CM21102","0","1","2026-04-23",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2334","1","EVEN 2025","47","0","3","End Semester Exam","8","AE21102","0","3","2026-04-23",,"3","14:00:00","17:00:00","2026-03-30 02:04:51","GPNCOE","117.254.196.95"
"2353","2","EVEN 2025","47","0","3","End Semester Exam","7","EL231102","1","69","2026-05-12","A","2","12:30:00","14:30:00","2026-03-30 02:17:57","GPNCOE","117.254.196.95"
"2013","3","EVEN 2025","47","0","3","End Semester Exam","7","EL232407","0","5","2026-05-08",,"3","14:00:00","17:00:00","2026-03-30 02:17:57","GPNCOE","117.254.196.95"
"2453","4","EVEN 2025","47","0","3","End Semester Exam","6","CM21435","0","1","2026-05-05",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2451","4","EVEN 2025","47","0","3","End Semester Exam","6","CM21234","0","1","2026-05-06",,"3","14:00:00","17:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2452","4","EVEN 2025","47","0","3","End Semester Exam","6","CM21433","0","2","2026-05-07",,"1","10:00:00","13:00:00","2026-03-30 02:12:31","GPNCOE","117.254.196.95"
"2478","2","EVEN 2025","47","0","3","End Semester Exam","5","IF21101","0","1","2026-04-27",,"3","14:00:00","17:00:00","2026-03-30 02:20:49","GPNCOE","117.254.196.95"
"2229","2","EVEN 2025","47","0","3","End Semester Exam","4","EE21103","0","4","2026-04-24",,"1","10:00:00","13:00:00","2026-03-30 02:14:17","GPNCOE","117.254.196.95"
