"sr_no","sem","term","term_id","flg","exam_type","exam","did","sub_code","online","stud_count","exam_date","division","slot","start_time","end_time","en_on","en_by","ip"
"914","3","ODD 2025","46","0","1","Progressive Test 1","8","AE232157","0","30","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"912","3","ODD 2025","46","0","1","Progressive Test 1","8","AE232113","0","30","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"913","3","ODD 2025","46","0","1","Progressive Test 1","8","AE232156","0","30","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"915","3","ODD 2025","46","0","1","Progressive Test 1","8","AE232505","0","30","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"916","5","ODD 2025","46","0","1","Progressive Test 1","8","AE233121","0","34","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"917","5","ODD 2025","46","0","1","Progressive Test 1","8","AE233122","0","34","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"918","5","ODD 2025","46","0","1","Progressive Test 1","8","AE233123","0","34","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"919","5","ODD 2025","46","0","1","Progressive Test 1","8","AE233124","0","34","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"920","5","ODD 2025","46","0","1","Progressive Test 1","8","AE233125","0","34","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"921","5","ODD 2025","46","0","1","Progressive Test 1","8","AE233233","0","34","2025-08-13",,"2","14:30:00","16:00:00","2025-09-06 12:04:23","GPNCOE","117.254.196.95"
"922","3","ODD 2025","46","0","1","Progressive Test 1","1","CE232101","0","95","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"923","3","ODD 2025","46","0","1","Progressive Test 1","1","CE232102","0","95","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"924","3","ODD 2025","46","0","1","Progressive Test 1","1","CE232103","0","95","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"925","3","ODD 2025","46","0","1","Progressive Test 1","1","CE232104","0","95","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"926","3","ODD 2025","46","0","1","Progressive Test 1","1","CE232501","0","95","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"927","5","ODD 2025","46","0","1","Progressive Test 1","1","CE233101","0","99","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"928","5","ODD 2025","46","0","1","Progressive Test 1","1","CE233102","0","99","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"929","5","ODD 2025","46","0","1","Progressive Test 1","1","CE233103","0","99","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"930","5","ODD 2025","46","0","1","Progressive Test 1","1","CE233104","0","99","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"931","5","ODD 2025","46","0","1","Progressive Test 1","1","CE233201","0","99","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:03:25","GPNCOE","117.254.196.95"
"932","3","ODD 2025","46","0","1","Progressive Test 1","6","CM232139","0","68","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"933","3","ODD 2025","46","0","1","Progressive Test 1","6","CM232140","0","68","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"934","3","ODD 2025","46","0","1","Progressive Test 1","6","CM232141","0","68","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"935","3","ODD 2025","46","0","1","Progressive Test 1","6","CM232142","0","68","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"936","3","ODD 2025","46","0","1","Progressive Test 1","6","CM232144","0","68","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"937","5","ODD 2025","46","0","1","Progressive Test 1","6","CM232402","0","67","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"938","5","ODD 2025","46","0","1","Progressive Test 1","6","CM233117","0","67","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"939","5","ODD 2025","46","0","1","Progressive Test 1","6","CM233118","0","67","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"940","5","ODD 2025","46","0","1","Progressive Test 1","6","CM233219","0","67","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"941","5","ODD 2025","46","0","1","Progressive Test 1","6","CM233223","0","67","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:05:37","GPNCOE","117.254.196.95"
"942","3","ODD 2025","46","0","1","Progressive Test 1","9","DD232161","0","49","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"943","3","ODD 2025","46","0","1","Progressive Test 1","9","DD232162","0","49","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"944","3","ODD 2025","46","0","1","Progressive Test 1","9","DD232506","0","49","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"945","3","ODD 2025","46","0","1","Progressive Test 1","9","DD233405","0","49","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"946","5","ODD 2025","46","0","1","Progressive Test 1","9","DD232402","0","46","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"947","5","ODD 2025","46","0","1","Progressive Test 1","9","DD233127","0","46","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"948","5","ODD 2025","46","0","1","Progressive Test 1","9","DD233128","0","46","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"949","5","ODD 2025","46","0","1","Progressive Test 1","9","DD233406","0","46","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:07:12","GPNCOE","117.254.196.95"
"950","3","ODD 2025","46","0","1","Progressive Test 1","4","EE232130","0","64","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"951","3","ODD 2025","46","0","1","Progressive Test 1","4","EE232131","0","64","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"952","3","ODD 2025","46","0","1","Progressive Test 1","4","EE232132","0","64","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"953","3","ODD 2025","46","0","1","Progressive Test 1","4","EE232133","0","64","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"954","3","ODD 2025","46","0","1","Progressive Test 1","4","EE232134","0","64","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"955","5","ODD 2025","46","0","1","Progressive Test 1","4","EE233112","0","57","2025-08-11",,"1","10:30:00","12:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"956","5","ODD 2025","46","0","1","Progressive Test 1","4","EE233113","0","57","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"957","5","ODD 2025","46","0","1","Progressive Test 1","4","EE233114","0","57","2025-08-12",,"1","10:30:00","12:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"958","5","ODD 2025","46","0","1","Progressive Test 1","4","EE233115","0","57","2025-08-12",,"2","14:30:00","16:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"959","5","ODD 2025","46","0","1","Progressive Test 1","4","EE233213","0","57","2025-08-13",,"1","10:30:00","12:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"960","5","ODD 2025","46","0","1","Progressive Test 1","4","EE233216","0","57","2025-08-13",,"2","14:30:00","16:00:00","2025-09-06 12:08:17","GPNCOE","117.254.196.95"
"961","3","ODD 2025","46","0","1","Progressive Test 1","7","EL231302","1","68","2025-08-11","A","1","10:30:00","12:00:00","2025-09-06 12:09:45","GPNCOE","117.254.196.95"
"962","3","ODD 2025","46","0","1","Progressive Test 1","7","EL231302","1","63","2025-08-11","B","1","10:30:00","12:00:00","2025-09-06 12:09:45","GPNCOE","117.254.196.95"
"963","3","ODD 2025","46","0","1","Progressive Test 1","7","EL232148","0","131","2025-08-11",,"2","14:30:00","16:00:00","2025-09-06 12:09:45","GPNCOE","117.254.196.95"
